{x=1353,m=3037,a=1714,s=2238}
{x=608,m=1974,a=1157,s=1316}
{x=1225,m=1440,a=80,s=1364}
{x=4,m=1245,a=948,s=147}
{x=30,m=2538,a=1716,s=823}
{x=626,m=128,a=1042,s=519}
{x=182,m=87,a=1114,s=123}
{x=3097,m=2262,a=60,s=505}
{x=700,m=1844,a=30,s=185}
{x=88,m=2157,a=39,s=1966}
{x=703,m=305,a=704,s=1759}
{x=400,m=1034,a=1947,s=1104}
{x=27,m=1959,a=87,s=1404}
{x=1654,m=351,a=1498,s=605}
{x=546,m=629,a=1120,s=776}
{x=1467,m=1402,a=2819,s=652}
{x=395,m=710,a=37,s=426}
{x=165,m=986,a=3316,s=3628}
{x=119,m=2580,a=477,s=1134}
{x=4,m=44,a=760,s=216}
{x=1633,m=3445,a=1494,s=1396}
{x=670,m=1082,a=708,s=290}
{x=2566,m=2148,a=99,s=3038}
{x=107,m=1631,a=2,s=293}
{x=2292,m=984,a=3360,s=124}
{x=2624,m=501,a=1111,s=1114}
{x=1217,m=1508,a=2880,s=1744}
{x=1705,m=623,a=271,s=3}
{x=3043,m=25,a=2091,s=1193}
{x=1566,m=53,a=418,s=6}
{x=1438,m=255,a=1726,s=1265}
{x=77,m=326,a=486,s=795}
{x=31,m=836,a=596,s=327}
{x=477,m=1056,a=1680,s=2268}
{x=898,m=647,a=66,s=244}
{x=3627,m=2071,a=96,s=625}
{x=1149,m=1690,a=79,s=237}
{x=710,m=847,a=2859,s=618}
{x=20,m=1793,a=1189,s=207}
{x=10,m=337,a=1006,s=127}
{x=184,m=113,a=945,s=1385}
{x=913,m=448,a=458,s=384}
{x=1236,m=181,a=1480,s=273}
{x=3386,m=4,a=297,s=2045}
{x=106,m=846,a=1723,s=415}
{x=1888,m=1035,a=375,s=17}
{x=496,m=3286,a=1123,s=225}
{x=1322,m=104,a=670,s=584}
{x=544,m=293,a=14,s=350}
{x=3419,m=469,a=3627,s=594}
{x=447,m=78,a=518,s=479}
{x=2602,m=700,a=536,s=1356}
{x=956,m=95,a=1599,s=492}
{x=1,m=1709,a=117,s=141}
{x=83,m=1970,a=143,s=411}
{x=479,m=1316,a=1129,s=953}
{x=1389,m=1084,a=1747,s=1196}
{x=792,m=1456,a=3617,s=278}
{x=306,m=2611,a=1080,s=601}
{x=310,m=118,a=2829,s=2395}
{x=249,m=295,a=1027,s=1016}
{x=117,m=793,a=935,s=2867}
{x=266,m=32,a=164,s=286}
{x=71,m=1881,a=474,s=223}
{x=519,m=1971,a=390,s=713}
{x=530,m=1052,a=826,s=732}
{x=2082,m=3165,a=1378,s=2921}
{x=281,m=2172,a=687,s=1294}
{x=822,m=217,a=322,s=540}
{x=53,m=2695,a=3592,s=63}
{x=323,m=219,a=1463,s=65}
{x=41,m=248,a=774,s=1178}
{x=641,m=155,a=1850,s=53}
{x=1305,m=253,a=2104,s=404}
{x=2832,m=2439,a=893,s=996}
{x=3936,m=107,a=419,s=221}
{x=1350,m=2275,a=42,s=856}
{x=1405,m=360,a=1360,s=1224}
{x=1558,m=488,a=2624,s=1172}
{x=2773,m=515,a=1302,s=115}
{x=240,m=1969,a=1655,s=164}
{x=105,m=2654,a=709,s=2241}
{x=140,m=1403,a=299,s=145}
{x=1173,m=747,a=121,s=1231}
{x=826,m=2987,a=931,s=658}
{x=752,m=8,a=3101,s=129}
{x=1980,m=131,a=1929,s=2282}
{x=433,m=2,a=1493,s=1029}
{x=104,m=317,a=856,s=1780}
{x=116,m=2665,a=584,s=835}
{x=1988,m=283,a=2314,s=569}
{x=270,m=381,a=308,s=369}
{x=1058,m=360,a=75,s=872}
{x=359,m=906,a=1329,s=144}
{x=1920,m=533,a=1340,s=63}
{x=713,m=133,a=332,s=2928}
{x=345,m=2121,a=493,s=1699}
{x=177,m=711,a=86,s=601}
{x=1141,m=890,a=2322,s=3109}
{x=52,m=189,a=1216,s=2289}
{x=671,m=13,a=14,s=783}
{x=2194,m=312,a=343,s=1076}
{x=895,m=768,a=634,s=679}
{x=294,m=2318,a=1300,s=434}
{x=72,m=59,a=1540,s=166}
{x=248,m=2740,a=183,s=1876}
{x=1749,m=525,a=1176,s=113}
{x=1446,m=3065,a=223,s=932}
{x=1863,m=448,a=2911,s=608}
{x=245,m=1250,a=19,s=696}
{x=61,m=746,a=2942,s=113}
{x=214,m=107,a=1544,s=3227}
{x=393,m=1357,a=68,s=264}
{x=16,m=1376,a=180,s=329}
{x=28,m=793,a=234,s=219}
{x=382,m=2129,a=1963,s=1348}
{x=280,m=374,a=1653,s=961}
{x=1252,m=352,a=824,s=116}
{x=133,m=192,a=970,s=735}
{x=940,m=828,a=102,s=1516}
{x=993,m=2165,a=27,s=379}
{x=514,m=257,a=1094,s=1268}
{x=317,m=3266,a=2567,s=754}
{x=2893,m=3393,a=121,s=1018}
{x=978,m=2629,a=68,s=566}
{x=436,m=225,a=1646,s=1042}
{x=2798,m=2503,a=697,s=79}
{x=160,m=800,a=189,s=2042}
{x=80,m=559,a=1355,s=557}
{x=26,m=774,a=75,s=992}
{x=252,m=1901,a=1329,s=2136}
{x=457,m=15,a=289,s=311}
{x=403,m=1377,a=399,s=1762}
{x=220,m=246,a=367,s=2416}
{x=172,m=137,a=1004,s=843}
{x=200,m=1046,a=343,s=743}
{x=220,m=80,a=389,s=683}
{x=3094,m=1241,a=71,s=1872}
{x=92,m=723,a=4,s=636}
{x=548,m=422,a=16,s=185}
{x=530,m=3498,a=619,s=399}
{x=2100,m=160,a=1497,s=1222}
{x=723,m=70,a=11,s=1267}
{x=85,m=240,a=545,s=2591}
{x=1937,m=1470,a=100,s=2233}
{x=141,m=100,a=2327,s=484}
{x=48,m=1999,a=346,s=692}
{x=81,m=728,a=777,s=1003}
{x=135,m=1121,a=1698,s=46}
{x=2398,m=720,a=222,s=2291}
{x=798,m=523,a=3130,s=834}
{x=934,m=398,a=58,s=3629}
{x=365,m=64,a=1860,s=891}
{x=743,m=203,a=1216,s=586}
{x=562,m=2230,a=428,s=1056}
{x=907,m=2499,a=2323,s=35}
{x=895,m=64,a=521,s=1616}
{x=2335,m=1661,a=705,s=1811}
{x=3875,m=2100,a=726,s=82}
{x=478,m=3106,a=1652,s=145}
{x=394,m=1255,a=391,s=256}
{x=1074,m=306,a=110,s=560}
{x=1099,m=1158,a=2338,s=1562}
{x=1030,m=2433,a=783,s=3066}
{x=2587,m=17,a=739,s=2788}
{x=1876,m=1459,a=145,s=3440}
{x=97,m=230,a=722,s=622}
{x=2634,m=222,a=1941,s=3208}
{x=1410,m=1860,a=1561,s=27}
{x=104,m=1735,a=947,s=146}
{x=323,m=576,a=139,s=1924}
{x=381,m=20,a=1266,s=2119}
{x=287,m=154,a=524,s=69}
{x=718,m=2618,a=138,s=373}
{x=864,m=416,a=1637,s=3088}
{x=848,m=1992,a=400,s=2460}
{x=1486,m=180,a=1061,s=144}
{x=1435,m=2279,a=1417,s=2800}
{x=438,m=289,a=384,s=231}
{x=853,m=157,a=2367,s=608}
{x=1214,m=631,a=195,s=620}
